timestamp,vibration_mps2,temperature_c,current_ampere,health_status
2026-01-01 00:00:00,1.1,30.0,4.16,normal
2026-01-01 00:01:00,1.31,30.0,4.0,normal
2026-01-01 00:02:00,1.32,31.9,4.0,normal
2026-01-01 00:03:00,1.11,30.0,4.0,normal
2026-01-01 00:04:00,1.05,30.0,4.0,normal
2026-01-01 00:05:00,1.0,30.0,4.08,normal
2026-01-01 00:06:00,1.0,30.0,4.37,normal
2026-01-01 00:07:00,1.0,30.2,4.0,normal
2026-01-01 00:08:00,1.0,30.3,4.0,normal
2026-01-01 00:09:00,1.08,30.0,4.0,normal
2026-01-01 00:10:00,1.0,34.7,4.0,normal
2026-01-01 00:11:00,1.0,32.1,4.0,normal
2026-01-01 00:12:00,1.05,30.0,4.0,normal
2026-01-01 00:13:00,1.05,31.9,4.05,normal
2026-01-01 00:14:00,1.0,30.0,4.0,normal
2026-01-01 00:15:00,1.0,30.0,4.27,normal
2026-01-01 00:16:00,1.08,30.0,4.09,normal
2026-01-01 00:17:00,1.0,30.0,4.16,normal
2026-01-01 00:18:00,1.22,32.4,4.0,normal
2026-01-01 00:19:00,1.0,31.0,4.25,normal
2026-01-01 00:20:00,1.0,30.0,4.0,normal
2026-01-01 00:21:00,1.0,32.2,4.35,normal
2026-01-01 00:22:00,1.0,32.7,4.1,normal
2026-01-01 00:23:00,1.0,31.1,4.4,normal
2026-01-01 00:24:00,1.0,34.1,4.0,normal
2026-01-01 00:25:00,1.18,30.4,4.0,normal
2026-01-01 00:26:00,1.03,30.0,4.0,normal
2026-01-01 00:27:00,1.08,33.9,4.0,normal
2026-01-01 00:28:00,1.0,30.0,4.24,normal
2026-01-01 00:29:00,1.08,30.0,4.14,normal
2026-01-01 00:30:00,1.03,32.6,4.0,normal
2026-01-01 00:31:00,1.0,30.0,4.0,normal
2026-01-01 00:32:00,1.08,30.9,4.02,normal
2026-01-01 00:33:00,1.0,30.0,4.0,normal
2026-01-01 00:34:00,1.0,30.0,4.0,normal
2026-01-01 00:35:00,1.1,34.9,4.06,normal
2026-01-01 00:36:00,1.07,30.0,4.0,normal
2026-01-01 00:37:00,1.01,30.4,4.63,normal
2026-01-01 00:38:00,1.0,31.0,4.01,normal
2026-01-01 00:39:00,1.0,33.1,4.21,normal
2026-01-01 00:40:00,1.18,30.0,4.37,normal
2026-01-01 00:41:00,1.0,31.7,4.57,normal
2026-01-01 00:42:00,1.0,30.0,4.05,normal
2026-01-01 00:43:00,1.0,30.0,4.04,normal
2026-01-01 00:44:00,1.0,31.5,4.0,normal
2026-01-01 00:45:00,1.33,30.0,4.0,normal
2026-01-01 00:46:00,1.19,30.0,4.08,normal
2026-01-01 00:47:00,1.28,30.0,4.07,normal
2026-01-01 00:48:00,1.08,32.3,4.0,normal
2026-01-01 00:49:00,1.0,31.6,4.1,normal
2026-01-01 00:50:00,1.08,31.2,4.0,normal
2026-01-01 00:51:00,1.07,31.1,4.0,normal
2026-01-01 00:52:00,1.4,31.5,4.0,normal
2026-01-01 00:53:00,1.16,30.0,4.22,normal
2026-01-01 00:54:00,1.26,30.0,4.27,normal
2026-01-01 00:55:00,1.11,32.4,4.5,normal
2026-01-01 00:56:00,1.0,30.0,4.0,normal
2026-01-01 00:57:00,1.0,30.2,4.11,normal
2026-01-01 00:58:00,1.08,32.4,4.03,normal
2026-01-01 00:59:00,1.32,30.0,4.71,normal
2026-01-01 01:00:00,1.16,30.0,4.0,normal
2026-01-01 01:01:00,1.13,30.0,4.21,normal
2026-01-01 01:02:00,1.13,30.2,4.0,normal
2026-01-01 01:03:00,1.0,30.0,4.25,normal
2026-01-01 01:04:00,1.07,30.0,4.08,normal
2026-01-01 01:05:00,1.11,30.0,4.07,normal
2026-01-01 01:06:00,1.04,30.0,4.12,normal
2026-01-01 01:07:00,1.15,33.1,4.3,normal
2026-01-01 01:08:00,1.0,30.0,4.16,normal
2026-01-01 01:09:00,1.14,31.7,5.0,normal
2026-01-01 01:10:00,1.15,33.3,4.27,normal
2026-01-01 01:11:00,1.17,30.0,4.23,normal
2026-01-01 01:12:00,1.0,30.0,4.0,normal
2026-01-01 01:13:00,1.05,36.3,4.0,normal
2026-01-01 01:14:00,1.17,30.0,4.0,normal
2026-01-01 01:15:00,1.26,30.6,4.0,normal
2026-01-01 01:16:00,1.0,32.2,4.0,normal
2026-01-01 01:17:00,1.08,30.6,4.0,normal
2026-01-01 01:18:00,1.47,32.1,4.0,normal
2026-01-01 01:19:00,1.08,30.0,4.25,normal
2026-01-01 01:20:00,1.0,30.2,4.17,normal
2026-01-01 01:21:00,1.21,30.0,4.0,normal
2026-01-01 01:22:00,1.0,30.0,4.48,normal
2026-01-01 01:23:00,1.12,30.0,4.27,normal
2026-01-01 01:24:00,1.47,33.1,4.0,normal
2026-01-01 01:25:00,1.0,33.7,4.0,normal
2026-01-01 01:26:00,1.13,32.5,4.0,normal
2026-01-01 01:27:00,1.03,30.0,4.0,normal
2026-01-01 01:28:00,1.0,30.0,4.45,normal
2026-01-01 01:29:00,1.0,30.0,4.08,normal
2026-01-01 01:30:00,1.33,30.0,4.34,normal
2026-01-01 01:31:00,1.05,30.0,4.16,normal
